"","Plant","VSLNumber","SampleID","spoilagetype","SPC_D10","SPC_D14","SPC_D17","SPC_D21","SPC_D7","SPC_DI","LOD_SPC_D10","LOD_SPC_D14","LOD_SPC_D17","LOD_SPC_D21","LOD_SPC_D7","LOD_SPC_DI"
"99","Hood-Agawam","433","11","spore",450,1650,908,3070000,623,603,"OK","OK","OK","OK","OK","OK"
"100","Hood-Agawam","433","12","spore",501,583,1580,149000,573,920,"OK","OK","OK","OK","OK","OK"
"101","Hood-Agawam","433","12-2","spore",552,654,184,33200,531,849,"OK","OK","OK","OK","OK","OK"
"102","Hood-Agawam","433","13-2","NotSpoiled",143,409,112,92,266,378,"OK","OK","OK","OK","OK","OK"
"103","Hood-Agawam","433","14","spore",726,603,716,2090000,777,1080,"OK","OK","OK","OK","OK","OK"
"104","Hood-Agawam","436","92","spore",450,145000,450,405000,583,562,"OK","OK","OK","OK","OK","OK"
"105","Hood-Agawam","436","92-2","NotSpoiled",389,1760,501,409,664,716,"OK","OK","OK","OK","OK","OK"
"106","Hood-Agawam","436","93","NotSpoiled",1040,675,593,11500,1160,1570,"OK","OK","OK","OK","OK","OK"
"107","Hood-Agawam","436","93-1","spore",858,848,675,111000,1220,1450,"OK","OK","OK","OK","OK","OK"
"108","Hood-Agawam","436","93-2","NotSpoiled",204,195,491,10200,358,337,"OK","OK","OK","OK","OK","OK"
"109","Hood-Agawam","438","12","ppc",12500000,20600000,72300000,4.98e+09,11700,360,"OK","OK","OK","OK","OK","OK"
"110","Hood-Agawam","438","12-2","spore",552,4e+05,8090,4e+07,521,644,"OK",">","OK",">","OK","OK"
"111","Hood-Agawam","438","13","NotSpoiled",123,562,330,70,644,430,"OK","OK","OK","OK","OK","OK"
"112","Hood-Agawam","438","13-1","NotSpoiled",307,256,429,215,532,460,"OK","OK","OK","OK","OK","OK"
"113","Hood-Agawam","438","13-2","NotSpoiled",644,215,215,409,491,531,"OK","OK","OK","OK","OK","OK"
