FSL,Genus,Species,project,sample ident,sampleid num,Isolate Source Very Specific,rpoB allelic type
FSL R5-0900,Paenibacillus,sp.,HTST pastuerization temperatures, ,36441,heat treated 2% fat milk,15
FSL R5-0917,Paenibacillus,sp.,HTST pastuerization temperatures, ,36442,heat treated 2% fat milk,15
FSL R5-0922,Paenibacillus,sp.,HTST pastuerization temperatures, ,36443,heat treated 2% fat milk,15
FSL R5-0924,Paenibacillus,sp.,HTST pastuerization temperatures, ,36444,heat treated 2% fat milk,15
FSL R5-0932,Paenibacillus,sp.,HTST pastuerization temperatures, ,36445,heat treated 2% fat milk,15
FSL R5-0934,Paenibacillus,sp.,HTST pastuerization temperatures, ,36446,heat treated 2% fat milk,15
FSL R5-0942,Paenibacillus,sp.,HTST pastuerization temperatures, ,36447,heat treated 2% fat milk,15
FSL R7-0036,Paenibacillus,sp.,HTST pastuerization temperatures, ,36448,heat treated 2% fat milk,15
FSL R7-0049,Paenibacillus,sp.,HTST pastuerization temperatures, ,36449,heat treated 2% fat milk,15
FSL R7-0064,Paenibacillus,sp.,HTST pastuerization temperatures, ,36450,heat treated 2% fat milk,15
FSL R7-0065,Paenibacillus,sp.,HTST pastuerization temperatures, ,36451,heat treated 2% fat milk,15
FSL R7-0069,Paenibacillus,sp.,HTST pastuerization temperatures, ,36452,heat treated 2% fat milk,15
FSL R7-0119,Paenibacillus,sp.,HTST pastuerization temperatures, ,36453,heat treated 2% fat milk,15
FSL R7-0124,Paenibacillus,sp.,HTST pastuerization temperatures, ,36454,heat treated 2% fat milk,15
FSL R7-0130,Paenibacillus,sp.,HTST pastuerization temperatures, ,36455,heat treated 2% fat milk,15
FSL R7-0156,Paenibacillus,sp.,HTST pastuerization temperatures, ,36456,heat treated 2% fat milk,15
FSL R7-0173,Paenibacillus,sp.,HTST pastuerization temperatures, ,36457,heat treated 2% fat milk,15
FSL R7-0201,Paenibacillus,sp.,HTST pastuerization temperatures, ,36458,heat treated 2% fat milk,15
FSL R7-0317,Paenibacillus,sp.,HTST pastuerization temperatures, ,36459,heat treated 2% fat milk,15
FSL R7-0318,Paenibacillus,sp.,HTST pastuerization temperatures, ,36460,heat treated 2% fat milk,15
FSL R7-0326,Paenibacillus,sp.,HTST pastuerization temperatures, ,36461,heat treated 2% fat milk,15
FSL P2-0139,Paenibacillus,odorifer,Watters Project,1-001,45700,Laboratory Heat Treated Raw Milk,15
FSL P2-0324,Paenibacillus,odorifer,Watters Project,1-014,47868,Laboratory Heat Treated Raw Milk,15
FSL W7-1087,Paenibacillus,odorifer,Watters Project,1-024,48272,Laboratory Heat Treated Raw Milk,15
FSL P4-0174,Paenibacillus,odorifer,Watters Project,1-025,48278,Laboratory Heat Treated Raw Milk,15
FSL P4-0215,Paenibacillus,odorifer,Watters Project,1-027,48287,Laboratory Heat Treated Raw Milk,15
FSL H8-0553,Paenibacillus,sp.,Fluid Milk Shelf Life,12-D14,32864,Raw milk- untreated whole milk,15
FSL H7-0577,Paenibacillus,sp.,Fluid Milk Shelf Life,20 - D 12,28768,Raw milk,15
FSL H7-0772,Paenibacillus,sp.,Fluid Milk Shelf Life,23 - D 16,28829,Pasteurized 2% milk,15
FSL H7-0592,Paenibacillus,sp.,Fluid Milk Shelf Life,24 - D 12,28772,Pasteurized 2% milk,15
FSL H7-0777,Paenibacillus,sp.,Fluid Milk Shelf Life,24 - D 16,28830,Pasteurized 2% milk,15
FSL H7-0787,Paenibacillus,sp.,Fluid Milk Shelf Life,28 - D 16,28834,Pasteurized 2% milk,15
FSL H8-0044,Paenibacillus,sp.,Fluid Milk Shelf Life,28 - D 21,28904,Pasteurized 2% milk,15
FSL F4-0142,Paenibacillus,sp.,Pasteurized fluid milk spoilage,2B-31,20765,pasteurized 2% fat milk,15
FSL F4-0129,Paenibacillus,odorifer,Pasteurized fluid milk spoilage,2B-32,20766,pasteurized 2% fat milk,15
FSL P2-0443,Paenibacillus,odorifer,Watters Project,3-062,47884,Laboratory Heat Treated Raw Milk,15
FSL W7-1042,Paenibacillus,odorifer,Watters Project,3-064,48270,Laboratory Heat Treated Raw Milk,15
FSL H7-0794,Paenibacillus,sp.,Fluid Milk Shelf Life,30 - D 16,28836,Pasteurized 2% milk,15
FSL H7-0672,Paenibacillus,sp.,Fluid Milk Shelf Life,31 - D 12,28796,Raw milk,15
FSL H8-0092,Paenibacillus,sp.,Fluid Milk Shelf Life,31 - D 18,28919,Raw milk,15
FSL H8-0096,Paenibacillus,sp.,Fluid Milk Shelf Life,33 - D 18,28921,Raw milk,15
