"","Plant_VSLNumber_SampleID","CVTA_D10","CVTA_D14","CVTA_D17","CVTA_D21","CVTA_D7","CVTA_DI","SPC_D10","SPC_D14","SPC_D17","SPC_D21","SPC_D7","SPC_DI"
"110","Hood-Barre_433_44",1,1.61278385671974,NA,NA,1,1,2.3096301674259,2.42488163663107,NA,NA,2.00860017176192,2.00860017176192
"111","Hood-Barre_436_102",1,1,1,1,1,1,1.96378782734556,1.91381385238372,2.35218251811136,NA,1.78532983501077,1.91381385238372
"112","Hood-Barre_436_102-1",1,1,1,1,1,1,1.96378782734556,1.78532983501077,3.44404479591808,NA,1.61278385671974,1.70757017609794
"113","Hood-Barre_436_103",0,1,1,1,1,1,1.32221929473392,1.30102999566398,1,1.30102999566398,1.32221929473392,1.61278385671974
"114","Hood-Barre_436_103-1",1,1,1,1,1,1,1.30102999566398,1.61278385671974,1,1,1.30102999566398,1.49136169383427
"115","Hood-Barre_438_42",1,1,1,1,1,1,1.30102999566398,1.49136169383427,2.65321251377534,5.8733206018154,1,1.61278385671974
"116","Hood-Barre_438_42-1",1,1,1,1,1,1,1,1.61278385671974,NA,2.18752072083646,1.96378782734556,1.78532983501077
"117","Hood-Barre_438_43",1,1,1,1,1,1,1.30102999566398,1.61278385671974,1.49136169383427,1.91381385238372,1.30102999566398,1.91381385238372
"118","Hood-Barre_441_72",1,1,1,1,1,1,2.47129171105894,2.33243845991561,2.18752072083646,2.48713837547719,2.45636603312904,2.2148438480477
"119","Hood-Barre_441_72-1",1,1,1,1,1,1,2.39093510710338,2.56584781867352,2.12385164096709,2.58883172559421,2.47275644931721,2.48713837547719
"120","Hood-Barre_441_73",1,1,1,1,1,1,1.61278385671974,1.85733249643127,2.58994960132571,NA,1.85733249643127,1
"121","Hood-Barre_441_73-1",1,1,1,NA,1,1,2.05307844348342,2.93348728784871,NA,5.60205999132796,1.49136169383427,1.70757017609794
"122","Hood-Concord_433_21",1,1.85733249643127,1,NA,1,1,NA,NA,NA,NA,NA,NA
"123","Hood-Concord_433_22",NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"124","Hood-Concord_433_22-1",1.61278385671974,1,1,1,1,1,NA,NA,NA,NA,NA,NA
