ID,Initial microbial count,LOG Initial microbial count
3670,0.24948686,1.776179528
3671,0.24948686,1.776179528
3672,0.24948686,1.776179528
3673,0.24948686,1.776179528
3676,-0.833564494,0.146701822
3677,0.309690173,2.040281881
3678,0.309690173,2.040281881
3679,0.309690173,2.040281881
3683,0.309690173,2.040281881
3684,0.309690173,2.040281881
3685,0.919120276,8.300806231
3686,0.309690173,2.040281881
3688,0.309690173,2.040281881
3689,0.309690173,2.040281881
3690,0.309690173,2.040281881
3691,0.309690173,2.040281881
3693,-2.731483679,0.001855737
3694,-3.066082599,0.00085885
3695,0.24948686,1.776179528
3697,0.309690173,2.040281881
3698,0.309690173,2.040281881
3699,0.309690173,2.040281881
3700,0.309690173,2.040281881
3706,0.309690173,2.040281881
3707,0.309690173,2.040281881
3708,-1.127697771,0.074525042
3709,0.309690173,2.040281881
3716,0.707272752,5.096508486
3717,0.947457186,8.860478701
3718,0.846835176,7.02805539
3720,-1.127697771,0.074525042
3721,-0.094261099,0.804894391
3722,-0.570875466,0.268611458
3725,0.309690173,2.040281881
3726,0.951396193,8.941207892
3727,1.064484837,11.60071713
3728,0.332716843,2.151378593
3733,0.309690173,2.040281881
3734,0.309690173,2.040281881
3735,0.309690173,2.040281881
3736,0.309690173,2.040281881
3743,1.204993355,16.03220859
3744,-0.104071721,0.786915825
3745,-0.236127548,0.580593878
3746,0.497266525,3.142436603
3752,0.332716843,2.151378593
3757,0.397940009,2.5
3758,0.309690173,2.040281881
3759,0.309690173,2.040281881
3760,0.309690173,2.040281881
3767,0.24948686,1.776179528
3768,0.24948686,1.776179528
3769,0.24948686,1.776179528
3774,0.813158594,6.503671448
3775,0.254295421,1.795954879
3776,0.764031688,5.808067939
3777,0.309690173,2.040281881
3781,2.187382694,153.9510639
3782,0.686772726,4.861527271
3783,0.332716843,2.151378593
3785,0.332716843,2.151378593
3787,0.332716843,2.151378593
3789,0.118180067,1.312744075
3790,1.157384729,14.36761655
3828,0.309690173,2.040281881
3829,0.46698869,2.930816922
3830,0.309690173,2.040281881
3832,0.282159241,1.914957947
3833,-1.12379211,0.075198277
3834,-0.850334094,0.141145132
3835,0.282159241,1.914957947
3837,-1.988259985,0.010274011
3838,-0.8036508,0.157162598
3839,-1.210461371,0.061594031
3841,0.309690173,2.040281881
3842,0.309690173,2.040281881
3843,0.309690173,2.040281881
3844,0.397940009,2.5
3846,-0.731374042,0.185620508
3847,-2.213646355,0.006114397
3848,-1.797768243,0.015930586
3850,-0.313060114,0.486339883
3851,0.220217638,1.660418786
3852,-0.37013461,0.42644732
3853,-0.682442804,0.207757732
3854,-0.51638744,0.304517713
3857,-1.031914663,0.092914894
3858,0.299465334,1.99280743
3859,0.518409854,3.299209195
3860,0.361917512,2.301004733
3862,-0.43310837,0.368885538
3863,-0.534500647,0.292078341
3864,-0.282828905,0.521400082
3956,-0.437277115,0.365361587
3957,0.698970004,5
3960,0.698970004,5
3961,0.081221154,1.205649731
3965,0.698970004,5
3966,0.698970004,5
3970,2.214510688,163.874239
3971,0.141060888,1.383760367
3979,0.309690173,2.040281881
3980,0.309690173,2.040281881
3984,0.309690173,2.040281881
3985,0.309690173,2.040281881
3994,0.332716843,2.151378593
3995,0.332716843,2.151378593
4012,0.309690173,2.040281881
4013,0.309690173,2.040281881
4102,1.379820305,23.97840576
4103,0.539845277,3.466133432
4107,0.332716843,2.151378593
4108,0.332716843,2.151378593
4121,-0.375802297,0.420918199
4122,-0.194734015,0.638654513
4123,0.323257233,2.105024881
4125,-0.183181851,0.655870578
4126,0.583676945,3.834219268
4128,0.077392935,1.195068873
4129,0.397940009,2.5
4130,0.397940009,2.5
4131,0.580732923,3.808315526
4132,0.397940009,2.5
4133,0.397940009,2.5
4134,-0.251029385,0.561010016
4135,0.397940009,2.5
4137,0.397940009,2.5
4138,0.502950419,3.183834023
4139,0.8266504,6.708885813
4140,1.139563366,13.78997142
4141,0.661345783,4.585068023
4142,-0.33479381,0.462600598
4144,-0.134474711,0.733711437
4146,0.717115324,5.213331292
4147,0.397940009,2.5
4148,0.661708963,4.588903896
4149,-0.958435477,0.110043532
4150,0.397940009,2.5
